StudentCode,StudentName,UcCode,ClassCode
202071557,Ludovico,L.EIC025,3LEIC07
202040617,Abilio,L.EIC025,3LEIC10
202066542,Manuel Serafim,L.EIC025,3LEIC15
202054812,Manuel Mauro,L.EIC025,3LEIC11
202023362,Carminho,L.EIC025,3LEIC08
202058297,Jose Diogo,L.EIC025,3LEIC03
202024212,Valentina,L.EIC025,3LEIC08
202080142,Manuel Emanuel,L.EIC025,3LEIC13
202068922,Jose Pascoal,L.EIC025,3LEIC04
202066712,Manuel Santiago,L.EIC025,3LEIC08
202056512,Humberto,L.EIC025,3LEIC02
202026252,Dulce,L.EIC025,3LEIC12
202067477,Manuel Arnaldo,L.EIC025,3LEIC01
202038832,Oceano,L.EIC025,3LEIC12
202063312,Jose Tiago,L.EIC025,3LEIC10
202080312,Manuel Estevao,L.EIC025,3LEIC08
202069007,Ernesto,L.EIC025,3LEIC12
202055917,Manuel Lucio,L.EIC025,3LEIC13
202064417,Vladimiro,L.EIC025,3LEIC03
202027102,Amelia,L.EIC025,3LEIC09
202058127,Hernani,L.EIC025,3LEIC13
202077932,Manuel Armando,L.EIC025,3LEIC10
202078612,Manuel Abilio,L.EIC025,3LEIC01
202062377,Manuel Antonio,L.EIC025,3LEIC09
202077167,Jose Lucas,L.EIC025,3LEIC09
202061442,Lazaro,L.EIC025,3LEIC10
202025827,Caetana,L.EIC025,3LEIC06
202021662,Luana,L.EIC025,3LEIC15
202061357,Tristao,L.EIC025,3LEIC10
202064757,Belmiro,L.EIC025,3LEIC09
202051242,Jose Agostinho,L.EIC025,3LEIC08
202055237,Jose Nelmo,L.EIC025,3LEIC08
202080227,Jose Emanuel,L.EIC025,3LEIC08
202054302,Jose Otavio,L.EIC025,3LEIC08
202038917,Baltazar,L.EIC025,3LEIC08
202058892,Manuel Anibal Jose Anibal,L.EIC025,3LEIC01
202063142,Jose Evandro,L.EIC025,3LEIC02
202027867,Zita,L.EIC025,3LEIC03
202020897,Francisca,L.EIC025,3LEIC11
202035772,Mateus,L.EIC025,3LEIC13
202057787,Jose Duarte,L.EIC025,3LEIC13
202060932,Flavio,L.EIC025,3LEIC12
202035517,Vicente,L.EIC025,3LEIC10
